EOSUSDT,SUSHIUSDT,BALUSDT,KNCUSDT,SRMUSDT,ENJUSDT,ZRXUSDT,QTUMUSDT,ATOMUSDT,IOTAUSDT,WAVESUSDT,ADAUSDT,BCHUSDT,XTZUSDT,BNBUSDT,IOSTUSDT,HNTUSDT,ETCUSDT,XMRUSDT,YFIUSDT,ZECUSDT,ETHUSDT,BZRXUSDT,BATUSDT,ALGOUSDT,DOGEUSDT,RLCUSDT,TRXUSDT,STORJUSDT,SNXUSDT,AVAXUSDT,XLMUSDT,NEOUSDT,MKRUSDT,DASHUSDT,THETAUSDT,KAVAUSDT,UNIUSDT,RUNEUSDT,LINKUSDT,DEFIUSDT,COMPUSDT,SOLUSDT,BTCUSDT,OMGUSDT,ICXUSDT,BLZUSDT,FTMUSDT,YFIIUSDT,LTCUSDT,BANDUSDT,XRPUSDT,SXPUSDT,CRVUSDT,DOTUSDT,EGLDUSDT,VETUSDT,ONTUSDT,TRBUSDT,ZILUSDT,LENDUSDT,FLMUSDT
2.582,1.2833,15.739,0.98609,1.8739,0.16340,0.4077,2.462,5.467,0.2864,2.6175,0.10263,228.16,2.222,29.001,0.005933,1.5989,5.395,111.18,24682.0,64.76,359.23,0.1971,0.2424,0.3493,0.002646,0.9025,0.02623,0.4998,4.753,4.2505,0.07511,19.442,574.00,70.38,0.7443,2.3044,4.1178,0.4959,9.913,601.9,133.54,2.9178,10785.98,4.2252,0.4232,0.11443,0.040107,3221.8,46.32,6.5392,0.2417,1.7565,0.948,4.359,10.387,0.013547,0.6345,22.686,0.01954,0.5351,0.6329
2.592,1.3079,15.961,0.98945,1.8817,0.16230,0.4100,2.462,5.454,0.2880,2.6303,0.10277,229.51,2.247,28.994,0.005935,1.6241,5.398,110.28,25852.6,65.87,361.24,0.1999,0.2436,0.3646,0.002651,0.9130,0.02638,0.4959,4.803,4.1756,0.07511,19.470,577.16,70.30,0.7510,2.3670,4.1827,0.5055,10.068,611.3,134.90,2.9364,10833.13,4.1980,0.4314,0.11412,0.040078,3246.9,46.66,6.6401,0.2425,1.7576,0.961,4.405,10.434,0.013606,0.6359,23.191,0.01948,0.5435,0.6334
2.589,1.3036,16.110,1.03233,1.8659,0.16395,0.4053,2.440,5.448,0.2869,2.6433,0.10417,229.20,2.237,29.142,0.005919,1.6117,5.411,111.17,25417.1,65.14,362.42,0.2001,0.2417,0.3630,0.002653,0.9286,0.02639,0.4963,4.854,4.1832,0.07560,19.664,570.19,70.56,0.7398,2.3527,4.1906,0.5169,10.016,608.7,135.20,2.9314,10814.53,4.1473,0.4289,0.11233,0.038990,3229.9,46.54,6.5997,0.2421,1.7266,0.959,4.441,10.410,0.013603,0.6344,23.155,0.01925,0.5314,0.6259
2.585,1.3005,16.254,1.02144,1.8456,0.16354,0.4038,2.432,5.472,0.2851,2.6551,0.10293,228.45,2.223,28.887,0.005891,1.6379,5.390,110.92,24823.4,65.77,362.37,0.2000,0.2413,0.3614,0.002646,0.9371,0.02625,0.5000,4.824,4.1852,0.07471,19.509,568.59,70.70,0.7377,2.3709,4.2673,0.5176,9.984,607.1,134.91,2.9226,10795.17,4.1131,0.4274,0.11212,0.038933,3198.0,46.54,6.6185,0.2420,1.7346,0.956,4.402,10.359,0.013545,0.6327,23.000,0.01935,0.5324,0.6308
2.589,1.2936,16.320,1.01767,1.8505,0.16452,0.4037,2.430,5.449,0.2851,2.6370,0.10292,228.22,2.225,28.823,0.006012,1.6248,5.376,110.00,25436.1,65.24,362.19,0.2009,0.2422,0.3639,0.002644,0.9420,0.02620,0.4974,4.817,4.1979,0.07458,19.493,571.09,70.64,0.7306,2.3642,4.2322,0.5213,9.997,609.1,135.72,2.9358,10795.69,4.0911,0.4276,0.11210,0.039059,3225.8,46.51,6.6243,0.2416,1.7261,0.956,4.403,10.373,0.013505,0.6320,23.442,0.01914,0.5334,0.6317
2.596,1.3186,16.396,1.03672,1.8573,0.16455,0.4119,2.452,5.562,0.2869,2.6552,0.10328,229.40,2.262,28.831,0.006034,1.6310,5.395,112.30,25411.7,65.92,361.71,0.2033,0.2439,0.3715,0.002652,0.9503,0.02634,0.5014,4.796,4.2559,0.07488,19.643,579.00,70.94,0.7313,2.4249,4.2605,0.5265,10.156,614.5,137.71,2.9745,10815.39,4.1640,0.4261,0.11258,0.039624,3220.1,46.50,6.7291,0.2418,1.7365,0.966,4.460,10.494,0.013565,0.6409,23.381,0.01935,0.5369,0.6350
2.596,1.3204,16.609,1.03957,1.8611,0.16550,0.4135,2.469,5.481,0.2866,2.6490,0.10278,229.89,2.277,28.907,0.006031,1.6290,5.404,111.45,24651.3,65.97,362.76,0.2049,0.2443,0.3715,0.002654,0.9524,0.02641,0.4962,4.819,4.2838,0.07514,20.133,584.02,70.60,0.7444,2.4098,4.4195,0.5258,10.217,618.0,137.64,2.9722,10817.01,4.2337,0.4254,0.11249,0.039272,3201.6,46.61,6.8459,0.2425,1.7385,0.973,4.525,10.558,0.013444,0.6452,23.460,0.01950,0.5505,0.6496
2.603,1.3284,16.748,1.04192,1.8584,0.16467,0.4143,2.464,5.518,0.2860,2.6586,0.10366,230.68,2.270,28.959,0.006000,1.6404,5.407,110.78,24624.3,65.85,363.87,0.2046,0.2446,0.3686,0.002653,0.9468,0.02641,0.5041,4.821,4.3151,0.07552,19.900,585.94,70.51,0.7375,2.4184,4.3936,0.5270,10.244,618.2,137.52,2.9709,10817.81,4.1666,0.4286,0.11432,0.039421,3201.2,46.65,6.9222,0.2420,1.7313,0.979,4.506,10.526,0.013423,0.6452,23.471,0.01937,0.5473,0.6514
2.611,1.3351,16.731,1.03727,1.8722,0.16203,0.4161,2.470,5.469,0.2864,2.6720,0.10355,232.19,2.281,29.052,0.005961,1.6306,5.424,109.56,24500.6,66.12,367.22,0.2051,0.2455,0.3654,0.002670,0.9534,0.02648,0.4990,4.873,4.3144,0.07608,20.189,595.78,70.36,0.7176,2.4711,4.3669,0.5348,10.200,619.7,137.95,2.9752,10869.99,4.2023,0.4290,0.11286,0.039398,3192.2,47.63,6.8556,0.2433,1.7300,0.972,4.480,10.758,0.013425,0.6432,23.593,0.01927,0.5547,0.6643
2.613,1.3407,16.696,1.03320,1.9149,0.16363,0.4163,2.487,5.480,0.2859,2.7517,0.10329,232.46,2.268,29.009,0.005984,1.6882,5.435,108.46,24007.2,66.19,367.68,0.2054,0.2457,0.3618,0.002669,0.9555,0.02653,0.4989,4.893,4.4602,0.07603,20.136,596.83,70.52,0.7195,2.4741,4.4180,0.5300,10.235,622.0,139.59,2.9906,10893.33,4.2986,0.4313,0.11337,0.039980,3195.5,47.83,6.9192,0.2438,1.7431,0.971,4.524,10.749,0.013499,0.6454,23.220,0.01917,0.5676,0.6668
