EOSUSDT,SUSHIUSDT,BALUSDT,KNCUSDT,SRMUSDT,ENJUSDT,ZRXUSDT,QTUMUSDT,ATOMUSDT,IOTAUSDT,WAVESUSDT,ADAUSDT,BCHUSDT,XTZUSDT,BNBUSDT,IOSTUSDT,HNTUSDT,ETCUSDT,XMRUSDT,YFIUSDT,ZECUSDT,ETHUSDT,BZRXUSDT,BATUSDT,ALGOUSDT,DOGEUSDT,RLCUSDT,TRXUSDT,STORJUSDT,SNXUSDT,AVAXUSDT,XLMUSDT,NEOUSDT,MKRUSDT,DASHUSDT,THETAUSDT,KAVAUSDT,UNIUSDT,RUNEUSDT,LINKUSDT,DEFIUSDT,COMPUSDT,SOLUSDT,BTCUSDT,OMGUSDT,ICXUSDT,BLZUSDT,FTMUSDT,YFIIUSDT,LTCUSDT,BANDUSDT,XRPUSDT,SXPUSDT,CRVUSDT,DOTUSDT,EGLDUSDT,VETUSDT,ONTUSDT,TRBUSDT,ZILUSDT,LENDUSDT,FLMUSDT
2.654,0.6279,13.749,0.90915,1.2398,0.14689,0.3559,2.196,4.892,0.2572,2.2703,0.09401,221.84,2.093,27.664,0.005381,1.1842,5.198,112.26,14907.5,61.63,341.24,0.1117,0.2140,0.3095,0.002589,0.7809,0.02548,0.4676,3.885,3.3575,0.07260,16.806,529.33,65.90,0.7298,1.8526,2.8641,0.4062,8.918,454.0,105.88,2.3173,10660.03,3.2770,0.3682,0.09354,0.026619,1328.9,46.70,5.3541,0.2496,1.1579,0.506,3.827,7.302,0.011111,0.5689,15.546,0.01894,0.4490,0.2514
2.643,0.6387,13.940,0.90062,1.2367,0.14646,0.3569,2.195,4.902,0.2579,2.2723,0.09382,221.85,2.079,27.665,0.005370,1.1792,5.176,111.14,14647.1,61.51,340.88,0.1126,0.2134,0.3082,0.002585,0.7775,0.02555,0.4627,3.854,3.3407,0.07272,16.721,525.31,66.06,0.7275,1.8743,2.8196,0.4110,8.885,452.5,106.28,2.3314,10645.92,3.2376,0.3668,0.09292,0.027392,1319.9,46.70,5.3712,0.2486,1.1621,0.492,3.838,7.314,0.011100,0.5675,15.645,0.01904,0.4435,0.2510
2.649,0.6508,14.182,0.90646,1.2446,0.14780,0.3569,2.199,4.890,0.2572,2.2802,0.09378,222.37,2.077,27.539,0.005385,1.1794,5.169,110.16,15119.4,61.55,340.81,0.1155,0.2130,0.3088,0.002590,0.7837,0.02554,0.4667,3.904,3.4031,0.07240,16.709,525.73,66.14,0.7311,1.8851,2.8896,0.4108,8.941,458.5,109.40,2.3300,10653.86,3.2374,0.3665,0.09391,0.027798,1333.1,46.69,5.4042,0.2481,1.1856,0.503,3.845,7.434,0.011207,0.5659,16.142,0.01906,0.4536,0.2506
2.641,0.6363,14.228,0.89936,1.2396,0.14754,0.3555,2.185,4.833,0.2556,2.2607,0.09351,222.17,2.061,27.777,0.005368,1.2046,5.156,109.80,14710.9,61.17,340.10,0.1150,0.2133,0.3074,0.002588,0.7797,0.02550,0.4651,3.896,3.3666,0.07216,16.697,523.46,65.83,0.7247,1.8886,2.8732,0.4266,8.867,456.6,109.35,2.2774,10656.92,3.1997,0.3679,0.09372,0.026979,1386.4,46.59,5.4698,0.2478,1.1682,0.492,3.805,7.486,0.011095,0.5647,15.646,0.01901,0.4468,0.2515
2.644,0.6364,14.098,0.89947,1.2217,0.14725,0.3552,2.184,4.853,0.2564,2.2726,0.09343,222.35,2.049,27.606,0.005347,1.1814,5.164,109.60,14622.9,61.24,340.28,0.1145,0.2127,0.3043,0.002589,0.7778,0.02544,0.4636,3.888,3.3897,0.07215,16.700,520.29,65.84,0.7286,1.8806,2.8607,0.4262,8.882,454.7,108.43,2.2773,10654.89,3.2294,0.3662,0.09360,0.026678,1363.4,46.61,5.4146,0.2485,1.1611,0.504,3.839,7.584,0.011070,0.5632,15.614,0.01867,0.4509,0.2504
2.643,0.6754,14.262,0.91520,1.2429,0.14881,0.3571,2.193,4.875,0.2575,2.2885,0.09371,223.00,2.068,27.667,0.005369,1.1926,5.162,109.87,14847.0,61.51,341.41,0.1169,0.2144,0.3065,0.002590,0.7945,0.02550,0.4782,3.932,3.4413,0.07227,16.771,523.12,65.95,0.7358,1.8902,2.9558,0.4333,8.963,462.0,110.37,2.3027,10658.75,3.2588,0.3699,0.09565,0.027013,1407.6,46.58,5.4601,0.2486,1.1864,0.522,3.850,7.724,0.011229,0.5653,16.110,0.01883,0.4602,0.2529
2.630,0.6492,14.058,0.90022,1.2169,0.14624,0.3529,2.174,4.868,0.2551,2.2478,0.09293,221.98,2.054,27.408,0.005331,1.1319,5.153,108.79,14538.8,61.29,339.89,0.1153,0.2126,0.3013,0.002581,0.7848,0.02533,0.4728,3.906,3.3956,0.07171,16.663,515.35,65.57,0.7286,1.8807,2.9115,0.4398,8.850,455.5,108.57,2.2638,10637.33,3.2245,0.3638,0.09401,0.026264,1359.2,46.34,5.3363,0.2478,1.1578,0.505,3.808,7.605,0.011161,0.5630,15.692,0.01865,0.4536,0.2496
2.632,0.6407,13.935,0.89518,1.2178,0.14578,0.3518,2.174,4.869,0.2547,2.2487,0.09285,222.26,2.066,27.394,0.005299,1.1248,5.157,108.91,14268.0,61.01,339.70,0.1150,0.2124,0.3000,0.002586,0.7853,0.02534,0.4739,3.854,3.4415,0.07181,16.655,513.64,65.63,0.7272,1.8812,2.8997,0.4360,8.839,454.1,109.75,2.2465,10634.99,3.2207,0.3654,0.09377,0.026360,1344.6,46.34,5.3829,0.2473,1.1763,0.504,3.802,7.539,0.011110,0.5622,15.586,0.01865,0.4448,0.2515
2.629,0.6401,13.847,0.89027,1.2098,0.14560,0.3505,2.164,4.852,0.2551,2.2400,0.09294,222.52,2.053,27.370,0.005289,1.1205,5.169,109.53,13957.9,60.81,339.08,0.1135,0.2120,0.3006,0.002581,0.7842,0.02530,0.4735,3.821,3.4560,0.07173,16.571,513.64,65.65,0.7236,1.8759,2.8824,0.4340,8.821,451.5,108.69,2.2494,10632.46,3.2115,0.3685,0.09471,0.026507,1315.1,46.29,5.4000,0.2476,1.1742,0.505,3.825,7.514,0.011045,0.5601,15.543,0.01853,0.4449,0.2529
2.634,0.6390,13.940,0.88597,1.1989,0.14573,0.3499,2.176,4.836,0.2556,2.2295,0.09291,225.24,2.056,27.381,0.005266,1.1243,5.190,109.69,14022.7,60.85,339.08,0.1132,0.2120,0.2988,0.002580,0.7846,0.02534,0.4719,3.796,3.4504,0.07166,16.426,511.84,65.83,0.7148,1.8688,2.8661,0.4328,8.776,449.9,107.50,2.2430,10634.23,3.2037,0.3686,0.09532,0.026761,1318.3,46.36,5.4396,0.2472,1.1717,0.504,3.815,7.490,0.010935,0.5613,15.693,0.01862,0.4433,0.2629
2.638,0.6389,14.019,0.88457,1.1965,0.14586,0.3498,2.180,4.813,0.2552,2.2261,0.09253,224.92,2.063,27.350,0.005271,1.1235,5.186,109.57,14014.3,60.80,339.52,0.1139,0.2117,0.3005,0.002586,0.7746,0.02534,0.4707,3.773,3.4165,0.07169,16.532,511.80,65.86,0.7130,1.8577,2.8594,0.4306,8.729,448.9,105.85,2.2098,10629.01,3.1758,0.3694,0.09519,0.026939,1315.8,46.43,5.4587,0.2465,1.1825,0.492,3.824,7.412,0.010876,0.5600,15.887,0.01859,0.4422,0.2652
2.625,0.6189,13.876,0.88036,1.1718,0.14386,0.3463,2.165,4.741,0.2528,2.1896,0.09178,224.96,2.047,27.210,0.005244,1.1059,5.170,109.09,13340.3,60.31,338.70,0.1096,0.2097,0.2985,0.002574,0.7539,0.02517,0.4627,3.832,3.3940,0.07145,16.395,507.05,65.54,0.6918,1.8308,2.7664,0.4170,8.678,441.4,105.20,2.1272,10608.82,3.1778,0.3608,0.09393,0.026428,1278.3,46.20,5.3203,0.2449,1.1532,0.485,3.768,7.246,0.010737,0.5565,15.659,0.01807,0.4304,0.2573
2.625,0.6157,13.738,0.88513,1.1500,0.14353,0.3442,2.180,4.743,0.2512,2.1832,0.09184,225.56,2.036,27.057,0.005242,1.1158,5.159,109.67,12817.0,60.03,338.90,0.1070,0.2096,0.2996,0.002573,0.7449,0.02515,0.4609,3.766,3.4048,0.07133,16.478,507.58,65.46,0.7009,1.8143,2.7159,0.4125,8.598,435.8,105.32,2.0647,10618.48,3.1592,0.3602,0.09407,0.026136,1258.1,46.36,5.1646,0.2459,1.1452,0.472,3.723,7.160,0.010765,0.5533,15.383,0.01786,0.4230,0.2483
2.559,0.6209,13.779,0.89410,1.1410,0.14330,0.3415,2.160,4.690,0.2492,2.1661,0.09123,223.93,2.028,26.777,0.005182,1.1029,5.123,108.38,13017.2,59.70,336.09,0.1047,0.2095,0.2946,0.002568,0.7409,0.02513,0.4606,3.672,3.3912,0.07068,16.350,505.09,65.14,0.7005,1.7961,2.7324,0.4141,8.557,433.9,105.44,2.0859,10586.29,3.0465,0.3596,0.09515,0.025607,1258.2,45.91,5.0943,0.2443,1.1332,0.467,3.703,7.220,0.010769,0.5500,14.878,0.01772,0.4200,0.2433
2.547,0.6167,13.567,0.89179,1.1572,0.14249,0.3392,2.146,4.648,0.2470,2.1575,0.09077,223.57,2.019,26.637,0.005160,1.0811,5.109,107.79,12604.4,59.71,335.19,0.1034,0.2082,0.2908,0.002562,0.7335,0.02510,0.4547,3.661,3.3558,0.07051,16.183,501.94,64.54,0.6890,1.7910,2.6862,0.4093,8.535,429.9,103.21,2.0735,10557.07,3.0455,0.3563,0.09305,0.025382,1235.7,45.83,5.1144,0.2428,1.1243,0.464,3.668,7.055,0.010742,0.5472,14.699,0.01772,0.4181,0.2328
2.558,0.6330,13.618,0.90315,1.1746,0.14404,0.3431,2.155,4.682,0.2487,2.1778,0.09156,223.92,2.027,26.768,0.005190,1.1091,5.124,107.56,13044.3,60.07,336.05,0.1055,0.2102,0.2916,0.002581,0.7452,0.02513,0.4606,3.691,3.4071,0.07066,16.262,506.40,64.77,0.6917,1.8206,2.7515,0.4105,8.560,436.3,107.17,2.1433,10558.48,3.0771,0.3603,0.09478,0.025252,1280.8,45.91,5.1005,0.2429,1.1364,0.478,3.677,7.234,0.010747,0.5512,15.013,0.01782,0.4253,0.2374
2.571,0.6496,14.252,0.90910,1.1768,0.14551,0.3475,2.167,4.741,0.2516,2.1983,0.09180,225.38,2.040,26.917,0.005225,1.1464,5.136,109.04,13309.7,60.65,338.00,0.1069,0.2108,0.2970,0.002574,0.7524,0.02524,0.4655,3.715,3.4446,0.07089,16.350,509.03,65.19,0.7024,1.8551,2.8013,0.4192,8.651,440.7,106.18,2.1847,10602.43,3.1102,0.3643,0.09562,0.025538,1285.5,46.05,5.2027,0.2445,1.1523,0.480,3.739,7.334,0.010740,0.5528,15.159,0.01808,0.4283,0.2405
2.565,0.6441,14.387,0.89976,1.1705,0.14486,0.3479,2.174,4.730,0.2510,2.1845,0.09158,224.94,2.034,26.830,0.005208,1.1335,5.133,108.88,13123.6,60.93,337.49,0.1082,0.2093,0.2963,0.002573,0.7481,0.02520,0.4594,3.680,3.4322,0.07115,16.339,507.60,65.03,0.6966,1.8616,2.8088,0.4158,8.620,439.6,104.67,2.1684,10598.42,3.0690,0.3642,0.09505,0.025440,1290.6,45.92,5.2094,0.2443,1.1545,0.483,3.736,7.343,0.010563,0.5509,14.977,0.01785,0.4261,0.2400
2.581,0.6951,14.544,0.92155,1.2056,0.14802,0.3538,2.189,4.793,0.2548,2.2312,0.09251,228.90,2.065,27.184,0.005287,1.1954,5.180,110.00,14582.0,61.35,340.76,0.1102,0.2122,0.3003,0.002586,0.7690,0.02551,0.4672,3.785,3.6812,0.07191,16.512,515.06,65.72,0.7040,1.8870,2.9331,0.4298,8.783,455.4,106.73,2.2633,10633.53,3.1855,0.3703,0.09670,0.026055,1397.8,46.36,5.3009,0.2462,1.1690,0.505,3.807,7.460,0.010651,0.5587,15.421,0.01825,0.4376,0.2531
2.608,0.7351,14.892,0.92150,1.2255,0.14835,0.3577,2.228,4.829,0.2561,2.2451,0.09370,231.62,2.086,27.378,0.005368,1.2052,5.171,111.05,15061.3,62.28,343.86,0.1113,0.2135,0.3014,0.002588,0.7730,0.02559,0.4694,3.790,3.7326,0.07244,16.694,517.13,66.36,0.7053,1.8953,3.0281,0.4418,8.849,462.9,107.91,2.3128,10731.86,3.1792,0.3760,0.09682,0.026352,1457.8,46.71,5.3297,0.2475,1.1891,0.511,3.860,7.432,0.010784,0.5600,15.798,0.01870,0.4515,0.2562
2.628,0.7350,15.005,0.93964,1.2828,0.15138,0.3662,2.262,4.939,0.2599,2.2771,0.09532,234.51,2.122,27.641,0.005490,1.2355,5.202,111.53,16205.8,62.98,349.39,0.1160,0.2174,0.3108,0.002621,0.7936,0.02575,0.4832,3.921,3.7910,0.07320,17.003,526.93,67.01,0.7072,1.9732,3.2237,0.4522,9.302,486.4,112.31,2.3751,10909.99,3.4416,0.3842,0.09855,0.027188,1646.0,47.25,5.5675,0.2510,1.2266,0.543,4.049,7.516,0.011336,0.5741,16.414,0.01926,0.4687,0.2757
2.625,0.7632,14.979,0.93612,1.2524,0.14965,0.3653,2.261,4.998,0.2586,2.2783,0.09630,235.49,2.133,27.441,0.005461,1.2424,5.203,110.87,16035.8,62.65,349.22,0.1164,0.2163,0.3124,0.002619,0.7902,0.02567,0.4772,3.966,3.8352,0.07324,16.921,523.67,66.84,0.7057,1.9578,3.2869,0.4491,9.240,487.7,110.84,2.4271,10892.69,3.4245,0.3805,0.09917,0.027252,1639.7,47.20,5.6472,0.2506,1.2770,0.554,4.027,7.529,0.011300,0.5768,16.987,0.01917,0.4597,0.2775
2.617,0.7630,14.956,0.93676,1.2607,0.15047,0.3666,2.252,4.997,0.2588,2.2768,0.09560,234.43,2.132,27.560,0.005461,1.2709,5.189,111.60,15763.6,62.56,350.65,0.1174,0.2163,0.3101,0.002617,0.7817,0.02576,0.4784,3.979,3.8925,0.07316,16.898,522.88,66.66,0.7109,1.9547,3.2691,0.4435,9.449,488.0,112.18,2.3751,10916.64,3.3926,0.3821,0.09943,0.027551,1614.2,47.18,5.6525,0.2498,1.2730,0.541,4.074,7.570,0.011345,0.5760,17.077,0.01913,0.4593,0.2777
2.620,0.7505,14.826,0.92967,1.2593,0.14852,0.3647,2.249,5.041,0.2578,2.2765,0.09609,233.95,2.132,27.488,0.005454,1.2610,5.175,111.17,15267.4,62.31,350.57,0.1163,0.2161,0.3076,0.002613,0.7785,0.02569,0.4744,3.967,3.7874,0.07303,16.963,524.74,66.49,0.7082,1.9637,3.1991,0.4418,9.400,481.9,110.16,2.3229,10875.88,3.3310,0.3788,0.09848,0.027362,1554.9,47.29,5.7190,0.2504,1.2614,0.538,4.054,7.532,0.011342,0.5759,17.078,0.01913,0.4545,0.2698
2.622,0.7590,14.863,0.93259,1.2706,0.14900,0.3668,2.259,5.070,0.2581,2.2819,0.09624,234.37,2.125,27.416,0.005466,1.2724,5.172,111.16,15558.8,62.41,351.01,0.1169,0.2163,0.3080,0.002611,0.7824,0.02570,0.4738,3.976,3.8334,0.07317,16.984,526.35,66.63,0.7167,1.9918,3.2355,0.4391,9.396,485.6,109.77,2.3493,10866.11,3.3559,0.3807,0.09962,0.027466,1570.5,47.16,5.6953,0.2508,1.2792,0.541,4.074,7.543,0.011273,0.5762,17.530,0.01933,0.4564,0.2769
2.619,0.7444,14.916,0.93034,1.2564,0.14830,0.3658,2.269,5.056,0.2575,2.2755,0.09579,234.62,2.114,27.424,0.005476,1.2640,5.161,110.94,15782.3,62.31,351.37,0.1186,0.2164,0.3083,0.002607,0.7810,0.02567,0.4726,3.956,3.7803,0.07311,17.056,529.29,66.46,0.7126,1.9937,3.2575,0.4404,9.437,487.9,108.78,2.3279,10873.71,3.3397,0.3768,0.09975,0.027350,1618.8,47.15,5.6644,0.2514,1.2852,0.548,4.074,7.508,0.011271,0.5757,17.537,0.01931,0.4568,0.2827
2.613,0.7571,15.120,0.93277,1.2723,0.14948,0.3671,2.265,5.084,0.2585,2.2925,0.09617,233.75,2.127,27.387,0.005485,1.2760,5.155,111.11,16714.7,62.24,351.78,0.1216,0.2173,0.3095,0.002613,0.7866,0.02572,0.4749,3.961,3.8477,0.07304,16.998,534.37,66.60,0.7167,2.0305,3.3477,0.4430,9.517,497.9,107.13,2.3314,10883.30,3.3618,0.3791,0.10258,0.027680,1811.8,47.32,5.6899,0.2518,1.2858,0.552,4.077,7.518,0.011060,0.5749,17.652,0.01935,0.4590,0.2799
2.604,0.7778,14.958,0.92921,1.2823,0.14950,0.3706,2.251,5.107,0.2618,2.2896,0.09562,232.34,2.115,27.428,0.005482,1.2687,5.142,111.17,16939.5,61.81,349.96,0.1237,0.2169,0.3072,0.002606,0.7888,0.02569,0.4715,3.990,3.8879,0.07290,16.912,532.92,66.44,0.7087,2.0313,3.3704,0.4477,9.469,501.1,106.60,2.3530,10871.82,3.3554,0.3768,0.10113,0.028285,1880.8,47.16,5.7300,0.2514,1.3264,0.565,4.130,7.501,0.011020,0.5755,16.967,0.01921,0.4608,0.2787
2.615,0.7752,15.051,0.93361,1.2798,0.15004,0.3703,2.255,5.105,0.2614,2.3287,0.09576,233.17,2.122,27.531,0.005487,1.2932,5.154,111.24,16831.6,62.11,351.09,0.1235,0.2174,0.3110,0.002605,0.7943,0.02565,0.4768,4.009,3.8971,0.07301,17.076,534.27,66.47,0.7143,2.0102,3.3789,0.4621,9.560,505.5,107.88,2.3709,10888.97,3.3907,0.3819,0.10264,0.028528,1938.1,47.21,5.7382,0.2514,1.3080,0.565,4.110,7.488,0.011040,0.5783,17.821,0.01925,0.4598,0.2860
2.607,0.7770,14.972,0.92605,1.2633,0.15069,0.3675,2.252,5.038,0.2627,2.3111,0.09627,233.98,2.113,27.669,0.005462,1.2976,5.161,110.95,16757.3,61.99,351.08,0.1240,0.2178,0.3085,0.002603,0.7896,0.02570,0.4812,3.960,3.9034,0.07315,17.034,533.60,66.43,0.7172,1.9971,3.3501,0.4722,9.544,501.9,108.06,2.3716,10919.45,3.3844,0.3803,0.10203,0.029238,1893.0,47.24,5.6875,0.2515,1.3150,0.558,4.117,7.487,0.011014,0.5782,17.139,0.01922,0.4579,0.2838
2.592,0.7578,14.823,0.91910,1.2406,0.14835,0.3632,2.229,4.968,0.2616,2.2830,0.09539,232.64,2.097,27.795,0.005386,1.2873,5.125,109.98,16099.6,61.32,349.36,0.1207,0.2158,0.3051,0.002608,0.7781,0.02566,0.4686,3.853,3.8412,0.07271,17.036,528.53,66.10,0.7102,1.9651,3.2593,0.4678,9.457,492.9,105.81,2.3240,10873.31,3.3018,0.3753,0.10090,0.028967,1816.0,46.84,5.6137,0.2507,1.2803,0.545,4.044,7.347,0.010848,0.5718,17.710,0.01896,0.4539,0.2725
2.598,0.7758,15.159,0.93619,1.2484,0.14997,0.3662,2.251,4.983,0.2645,2.3114,0.09637,233.82,2.106,27.907,0.005497,1.3139,5.162,110.23,16607.1,61.45,350.98,0.1238,0.2171,0.3078,0.002624,0.7866,0.02608,0.4710,3.875,3.8928,0.07370,17.359,531.66,66.46,0.7178,1.9938,3.3013,0.4806,9.516,500.9,107.25,2.3477,10893.67,3.3204,0.3783,0.10205,0.029650,1883.0,46.99,5.6789,0.2522,1.2904,0.551,4.070,7.452,0.010997,0.5738,18.868,0.01891,0.4582,0.2748
2.605,0.7677,15.227,0.92396,1.2567,0.15088,0.3662,2.243,5.004,0.2642,2.2994,0.09673,235.88,2.111,27.969,0.005502,1.3194,5.169,110.41,16610.9,61.54,351.28,0.1255,0.2173,0.3073,0.002628,0.7887,0.02601,0.4711,3.886,3.9101,0.07372,17.217,532.81,66.35,0.7172,1.9927,3.3029,0.4865,9.557,501.4,109.08,2.3715,10895.51,3.3329,0.3769,0.10225,0.030440,1859.5,47.04,5.6436,0.2515,1.3110,0.557,4.067,7.469,0.011168,0.5757,18.844,0.01879,0.4556,0.2758
2.610,0.7648,15.043,0.91294,1.2568,0.14948,0.3644,2.233,4.993,0.2634,2.2805,0.09578,236.28,2.110,27.825,0.005482,1.3144,5.158,109.62,16552.4,61.24,350.12,0.1239,0.2162,0.3056,0.002625,0.7841,0.02589,0.4679,3.815,3.8599,0.07331,17.096,529.66,66.41,0.7151,1.9824,3.2561,0.4925,9.495,498.3,108.12,2.3845,10881.96,3.3072,0.3761,0.10080,0.030035,1847.0,46.96,5.6527,0.2517,1.2989,0.550,4.047,7.821,0.011030,0.5730,18.616,0.01876,0.4534,0.2723
2.604,0.7535,15.029,0.90706,1.2543,0.14942,0.3640,2.230,5.006,0.2634,2.2739,0.09567,235.05,2.097,27.793,0.005483,1.2900,5.133,108.90,16291.8,60.96,349.39,0.1245,0.2159,0.3037,0.002624,0.7783,0.02581,0.4668,3.800,3.8536,0.07323,17.064,528.60,66.23,0.7092,1.9783,3.2199,0.5153,9.471,493.8,107.69,2.3648,10870.79,3.2954,0.3745,0.09980,0.029781,1775.4,46.85,5.6684,0.2510,1.2875,0.539,4.029,7.675,0.010960,0.5708,18.265,0.01870,0.4542,0.2660
2.595,0.7415,14.911,0.90605,1.2452,0.14906,0.3628,2.221,4.978,0.2615,2.2667,0.09528,234.14,2.084,27.800,0.005459,1.2868,5.134,108.34,16054.6,60.59,348.94,0.1258,0.2152,0.3023,0.002623,0.7739,0.02576,0.4668,3.810,3.8323,0.07303,16.907,526.98,66.25,0.6973,1.9702,3.1980,0.4982,9.423,490.9,106.13,2.3813,10858.37,3.3094,0.3727,0.09958,0.030277,1745.0,46.75,5.7812,0.2508,1.2854,0.528,4.051,7.780,0.010935,0.5677,18.175,0.01865,0.4536,0.2636
2.594,0.7481,14.872,0.90561,1.2482,0.14880,0.3634,2.222,5.066,0.2604,2.2544,0.09530,233.88,2.086,27.897,0.005478,1.2843,5.141,108.90,16175.6,60.73,348.84,0.1245,0.2159,0.3024,0.002622,0.7670,0.02573,0.4714,3.796,3.8393,0.07306,16.984,529.55,66.34,0.6986,1.9801,3.2232,0.4959,9.400,491.2,105.04,2.3418,10849.15,3.3693,0.3722,0.09955,0.029897,1745.8,46.80,5.7559,0.2498,1.2882,0.534,4.032,7.745,0.010905,0.5678,18.340,0.01856,0.4550,0.2808
2.603,0.7672,14.958,0.91645,1.2893,0.15092,0.3691,2.233,5.086,0.2620,2.2832,0.09556,235.16,2.103,28.178,0.005595,1.3059,5.156,109.81,17382.1,61.23,350.65,0.1315,0.2181,0.3051,0.002622,0.7758,0.02586,0.4771,3.889,3.8968,0.07322,17.119,534.05,66.69,0.7030,2.0399,3.3380,0.5339,9.445,506.1,105.81,2.4106,10888.66,3.3614,0.3765,0.10150,0.030297,1874.9,46.91,5.8748,0.2505,1.3085,0.560,4.071,7.943,0.011081,0.5709,18.850,0.01895,0.4669,0.2897
2.605,0.7798,14.917,0.93564,1.3114,0.15115,0.3704,2.244,5.071,0.2625,2.2891,0.09568,235.23,2.106,27.966,0.005626,1.3037,5.178,109.76,17692.9,61.55,351.18,0.1348,0.2187,0.3088,0.002625,0.7807,0.02585,0.4784,3.913,3.9891,0.07358,17.149,534.97,66.72,0.7004,2.0387,3.4121,0.5097,9.558,512.2,107.22,2.5317,10893.13,3.3559,0.3769,0.10258,0.029985,1915.8,47.09,5.8552,0.2508,1.3177,0.559,4.084,7.928,0.011170,0.5742,18.758,0.01932,0.4758,0.2847
2.599,0.7788,14.972,0.94565,1.2956,0.15073,0.3732,2.232,5.064,0.2610,2.2698,0.09590,234.84,2.101,27.927,0.005579,1.2913,5.180,109.20,17575.0,61.32,350.30,0.1348,0.2173,0.3063,0.002622,0.7769,0.02579,0.4773,3.861,3.9694,0.07377,17.039,533.86,66.49,0.7020,2.0382,3.3686,0.5062,9.520,511.5,107.53,2.5202,10872.99,3.3815,0.3745,0.10209,0.029460,1961.5,46.93,6.0110,0.2513,1.3208,0.555,4.067,7.861,0.011045,0.5719,18.504,0.01913,0.4690,0.2793
2.637,0.8142,15.423,0.95932,1.3551,0.15445,0.3789,2.274,5.163,0.2634,2.3045,0.09722,237.61,2.141,28.193,0.005647,1.3163,5.243,110.94,18047.3,62.50,356.29,0.1418,0.2207,0.3128,0.002635,0.8065,0.02608,0.4931,4.075,4.1460,0.07444,17.279,547.51,67.33,0.7146,2.0742,3.4733,0.5287,10.134,530.9,109.89,2.5912,10980.92,3.4927,0.3841,0.10376,0.029967,2044.3,47.41,6.1151,0.2542,1.3650,0.586,4.142,8.025,0.011275,0.5838,19.023,0.01932,0.4815,0.2910
2.642,0.8403,15.485,0.95633,1.3408,0.15356,0.3825,2.281,5.161,0.2644,2.3528,0.09745,238.98,2.178,28.283,0.005603,1.3140,5.257,111.52,19084.7,62.52,359.30,0.1407,0.2206,0.3184,0.002632,0.8115,0.02628,0.5137,4.158,4.1528,0.07471,17.395,549.50,67.21,0.7056,2.1032,3.4919,0.5128,10.079,539.4,111.79,2.5493,11049.28,3.5098,0.3866,0.10333,0.030152,2221.1,47.56,6.2302,0.2557,1.3670,0.592,4.182,8.055,0.011460,0.5886,19.212,0.01937,0.4887,0.2957
2.628,0.8361,15.485,0.98309,1.3883,0.15331,0.3831,2.278,5.170,0.2647,2.3626,0.09712,238.07,2.159,28.279,0.005835,1.3104,5.260,111.31,18516.0,62.55,359.24,0.1418,0.2208,0.3170,0.002631,0.8173,0.02625,0.5021,4.248,4.1179,0.07486,17.408,549.66,67.26,0.7072,2.1249,3.4470,0.5135,10.089,537.3,114.91,2.5891,11063.43,3.4909,0.3872,0.10384,0.030320,2126.0,47.66,6.2144,0.2541,1.3458,0.591,4.199,8.016,0.011514,0.5884,19.303,0.01941,0.4913,0.2948
2.633,0.8234,15.466,0.98041,1.3799,0.15388,0.3844,2.320,5.156,0.2646,2.3531,0.09750,238.13,2.181,28.395,0.005774,1.3109,5.275,114.42,18545.6,63.94,360.01,0.1425,0.2213,0.3179,0.002655,0.8233,0.02628,0.4984,4.225,4.1294,0.07523,17.342,550.20,67.77,0.7116,2.1052,3.4423,0.5061,10.071,538.4,113.57,2.5840,11072.12,3.4974,0.3926,0.10487,0.030420,2191.0,47.65,6.2103,0.2539,1.3506,0.598,4.194,7.949,0.011467,0.5916,19.367,0.01946,0.4928,0.2890
2.633,0.8269,15.506,0.97238,1.3740,0.15428,0.3851,2.316,5.156,0.2657,2.4299,0.09824,237.49,2.196,28.350,0.005751,1.3078,5.289,115.42,18659.4,64.15,360.70,0.1428,0.2226,0.3213,0.002655,0.8230,0.02629,0.5039,4.226,4.1362,0.07483,17.394,550.47,67.56,0.7345,2.1057,3.4575,0.5113,10.161,541.1,113.75,2.5946,11057.21,3.4909,0.3937,0.10652,0.031215,2214.6,47.91,6.3403,0.2521,1.3521,0.594,4.180,7.984,0.011604,0.5932,19.158,0.01996,0.4933,0.2936
2.653,0.8460,15.681,0.98448,1.3806,0.15645,0.3877,2.340,5.258,0.2686,2.4223,0.09863,239.08,2.231,28.485,0.005749,1.3107,5.290,115.67,19002.0,64.91,365.34,0.1443,0.2245,0.3238,0.002661,0.8316,0.02642,0.5069,4.266,4.1954,0.07525,17.583,561.10,67.54,0.7288,2.1259,3.4830,0.5167,10.407,552.9,114.96,2.5956,11083.37,3.5351,0.3979,0.10542,0.031173,2388.0,48.17,6.4832,0.2524,1.3776,0.618,4.269,8.013,0.011750,0.5935,19.448,0.01996,0.4985,0.3014
2.638,0.8269,15.498,0.97934,1.3729,0.15303,0.3940,2.328,5.230,0.2665,2.4124,0.09993,237.39,2.222,28.349,0.005700,1.3058,5.280,116.66,18324.6,63.99,364.11,0.1424,0.2232,0.3279,0.002655,0.8242,0.02632,0.5081,4.230,4.1595,0.07512,17.455,560.53,67.29,0.7233,2.1050,3.3292,0.5095,10.351,543.7,113.57,2.5690,11048.51,3.4836,0.3951,0.10380,0.030721,2252.3,47.72,6.3847,0.2512,1.3665,0.614,4.291,7.893,0.011647,0.5908,19.350,0.01996,0.4980,0.2953
